zip,city,county,pop
28139,Rutherfordton,Rutherford,20467
28043,Forest City,Rutherford,20339
27617,Raleigh,Wake,20281
27886,Tarboro,Edgecombe,20280
28630,Granite Falls,Caldwell,20262
27518,Cary,Wake,20102
27801,Rocky Mount,Edgecombe,20065
28805,Asheville,Buncombe,19952
28712,Brevard,Transylvania,19847
27101,Winston Salem,Forsyth,19713
28906,Murphy,Cherokee,19701
28704,Arden,Buncombe,19261
27344,Siler City,Chatham,19116
28075,Harrisburg,Cabarrus,19099
28472,Whiteville,Columbus,18522
28779,Sylva,Jackson,18477
28574,Richlands,Onslow,18448
27408,Greensboro,Guilford,18323
28036,Davidson,Mecklenburg,18266
27576,Selma,Johnston,18222
28732,Fletcher,Henderson,18107
27596,Youngsville,Franklin,18043
27803,Rocky Mount,Nash,17905
28501,Kinston,Lenoir,17772
28716,Canton,Haywood,17770
27021,King,Stokes,17489
28034,Dallas,Gaston,17386
28374,Pinehurst,Moore,17347
27856,Nashville,Nash,17258
27409,Greensboro,Guilford,17223
27282,Jamestown,Guilford,17090
28307,Fort Bragg,Cumberland,17065
28327,Carthage,Moore,17013
28714,Burnsville,Yancey,16941
28301,Fayetteville,Cumberland,16929
28203,Charlotte,Mecklenburg,16655
27536,Henderson,Vance,16522
28539,Hubert,Onslow,16509
27317,Randleman,Randolph,16169
28023,China Grove,Rowan,16129
27244,Elon College,Alamance,16036
27592,Willow Spring,Wake,15972
28164,Stanley,Gaston,15623
27504,Benson,Johnston,15593
28365,Mount Olive,Wayne,15533
28791,Hendersonville,Henderson,15528
28387,Southern Pines,Moore,15437
28557,Morehead City,Carteret,15298
27510,Carrboro,Orange,15117
27358,Summerfield,Guilford,15028
27525,Franklinton,Franklin,14819
28360,Lumberton,Robeson,14769
28364,Maxton,Robeson,14732
28551,La Grange,Lenoir,14684
27370,Trinity,Randolph,14409
28021,Cherryville,Gaston,14408
27006,Advance,Davie,14329
27892,Williamston,Martin,14217
28372,Pembroke,Robeson,14196
28697,Wilkesboro,Wilkes,13833
28801,Asheville,Buncombe,13790
27524,Four Oaks,Johnston,13675
28202,Charlotte,Mecklenburg,13498
28016,Bessemer City,Gaston,13405
28315,Aberdeen,Moore,13303
28711,Black Mountain,Buncombe,13269
27055,Yadkinville,Yadkin,13145
28580,Snow Hill,Greene,13010
28462,Supply,Brunswick,12917
28470,Shallotte,Brunswick,12812
27863,Pikeville,Wayne,12782
27023,Lewisville,Forsyth,12728
28377,Red Springs,Robeson,12654
28748,Leicester,Buncombe,12606
27522,Creedmoor,Granville,12552
28584,Swansboro,Onslow,12536
27040,Pfafftown,Forsyth,12519
28612,Connellys Springs,Burke,12314
28638,Hudson,Caldwell,12277
27932,Edenton,Chowan,12129
28206,Charlotte,Mecklenburg,12036
